League,Team,Location,Stadium,Capacity,Lat,Long,Address
League One,AFC Wimbledon,London,Kingsmeadow,"4,850",51.4046031,-0.2839022,"Kingsmeadow, Hampden Road, Norbiton, Royal Borough of Kingston upon Thames, London, Greater London, England, KT1 3HE, UK"
League One,Bolton Wanderers,Bolton,Macron Stadium,"28,723",53.5805396,-2.53566466666667,"The Reebok, Burnden Way, Middlebrook, Bolton, Greater Manchester, North West England, England, BL6 6PE, UK"
League One,Bradford City,Bradford,Valley Parade,"25,136",53.8036614,-1.7608023,"Valley Parade, Manningham, Bradford, Yorkshire and the Humber, England, BD8, UK"
League One,Bristol Rovers,Bristol,Memorial Stadium,"12,011",51.48625915,-2.58318375648113,"The Memorial Stadium, Filton Avenue, Horfield, Bristol, City of Bristol, South West England, England, BS7 0AQ, UK"
League One,Bury,Bury,Gigg Lane,"11,840",53.58050595,-2.29490271862565,"Gigg Lane, Gigg, Bury, Greater Manchester, North West England, England, BL9 9HR, UK"
League One,Charlton Athletic,London,The Valley,"27,111",51.5229188,-0.0781602,"The Valley, 9, Great Eastern Street, Shoreditch, London Borough of Hackney, London, Greater London, England, E1 6PJ, UK"
League One,Chesterfield,Chesterfield,Proact Stadium,"10,400",53.2535377,-1.42578953781081,"Proact Stadium, 1866, Sheffield Road, Whittington Moor, Chesterfield, Derbyshire, East Midlands, England, S41 8NZ, UK"
League One,Coventry City,Coventry,Ricoh Arena,"32,500",52.4481077,-1.49563888248884,"Ricoh Arena, Rowleys Green Lane, Edgwick, Rowley's Green, Coventry, West Midlands, England, CV6 6GE, UK"
League One,Fleetwood Town,Fleetwood,Highbury Stadium,"5,311",53.9164021,-3.0246826254755,"Highbury Stadium, Park Avenue, Rossall, Wyre, Lancs, North West England, England, FY7 6TX, UK"
League One,Gillingham,Gillingham,Priestfield Stadium,"11,582",51.3842258,0.560984550000012,"Priestfield Stadium, Gordon Road, Brompton, Gillingham, Medway, South East, England, ME7 2EJ, UK"
League One,Milton Keynes Dons,Milton Keynes,Stadium:mk,"30,500",52.00962495,-0.734494456160403,"Stadium MK, Grafton Street, Bletchley and Fenny Stratford, Bletchley, Milton Keynes, South East, England, MK1 1ET, UK"
League One,Millwall,London,The Den,"20,146",51.5073219,-0.1276473,"London, Greater London, England, UK"
League One,Northampton Town,Northampton,Sixfields Stadium,"7,653",52.23526855,-0.933565223679137,"Northampton Town Football Club, Edgar Mobbs Way, Dallington, Northampton, Northamptonshire, East Midlands, England, UK"
League One,Oldham Athletic,Oldham,Boundary Park,"13,309",53.55508845,-2.12838305357793,"Boundary Park, Sheepfoot Lane, Higginshaw, Oldham, Greater Manchester, North West England, England, OL1 2PA, UK"
League One,Oxford United,Oxford,Kassam Stadium,"12,500",51.71638605,-1.20770279894718,"Kassam Stadium, Grenoble Road, Littlemore CP, Oxford, Oxon, South East, England, OX4 4XP, UK"
League One,Peterborough United,Peterborough,London Road Stadium,"14,319",52.56445015,-0.240056809205776,"London Road Stadium, London Road, New Fletton, Peterborough, City of Peterborough, East of England, England, PE2 8AL, UK"
League One,Port Vale,Stoke-on-Trent,Vale Park,"18,947",53.0498953,-2.19258910140706,"Vale Park, Bycars Lane, Smallthorne, Burslem, Stoke-on-Trent, West Midlands, England, UK"
League One,Rochdale,Rochdale,Spotland Stadium,"10,249",53.6208929,-2.17993678641277,"Spotland Stadium (Rochdale AFC), Willbutts Lane, Spotland Bridge, Rochdale, Greater Manchester, North West England, England, UK"
League One,Scunthorpe United,Scunthorpe,Glanford Park,"9,183",53.5864664,-0.6940574,"United Football Ground, KFC Drivethru, Gunness CP, Amcotts, North Lincolnshire, Yorkshire and the Humber, England, DN15 8TD, UK"
League One,Sheffield United,Sheffield,Bramall Lane,"32,702",53.3720415,-1.4726316,"Bramall Lane, Moorfoot, Highfield, Sheffield, Yorkshire and the Humber, England, S2 4QX, UK"
League One,Shrewsbury Town,Shrewsbury,New Meadow,"9,875",52.6886354,-2.74927170430083,"Greenhous Meadow, Oteley Road, Shrewsbury, Betton Alkmere, Shropshire, West Midlands, England, SY2 6ST, UK"
League One,Southend United,Southend,Roots Hall,"12,392",51.5490442,0.701548625933502,"Roots Hall, Roots Hall Drive, Prittlewell, Southend-on-Sea, East of England, England, SS0 7AB, UK"
League One,Swindon Town,Swindon,County Ground,"15,728",51.56406645,-1.77234741523879,"County Ground, County Road, Broadgreen, New Town, Swindon, South West England, England, SN1 2ED, UK"
League One,Walsall,Walsall,Bescot Stadium,"11,300",52.5655014,-1.990497539062,"Banks's Stadium, Bescot Crescent, Bentley, Walsall, West Midlands, England, WS1 4SA, UK"
League Two,Accrington Stanley,Accrington,Crown Ground,"5,057",53.76539395,-2.37102510396258,"Crown Ground, Livingstone Road, Milnshaw, Hyndburn, Lancs, North West England, England, BB5 5BX, UK"
League Two,Barnet,London,Barnet FC Training Ground,"5,233",51.604462,-0.291478417108978,"Barnet FC Training Ground, Stanmore, London Borough of Harrow, London, Greater London, England, UK"
League Two,Blackpool,Blackpool,Bloomfield Road,"16,750",53.80478745,-3.04823023770892,"Bloomfield Road, Seasiders Way, Queenstown, Blackpool, North West England, England, FY1 6JJ, UK"
League Two,Cambridge United,Cambridge,Abbey Stadium,"9,617",52.2120297,0.154183054980322,"R Costings Abbey Stadium, Newmarket Road, Abbey Ward, Cambridge, Cambridgeshire, East of England, England, CB5 8LN, UK"
League Two,Carlisle United,Carlisle,Brunton Park,"16,981",54.8956035,-2.91362546373217,"Brunton Park, Warwick Road, Kingfisher Park, Botcherby, Carlisle, Cumbria, North West England, England, CA1 1LL, UK"
League Two,Cheltenham Town,Cheltenham,Whaddon Road,"7,066",51.9044966,-2.0575232,"Whaddon Road, Whaddon, Cheltenham, Gloucestershire, South West England, England, GL52 5NA, UK"
League Two,Colchester United,Colchester,Colchester Community Stadium,"10,105",51.9233778,0.897651415535028,"Weston Homes Community Stadium, A12, Myland CP, Colchester, Essex, East of England, England, UK"
League Two,Crawley Town,Crawley,Broadfield Stadium,"6,134",51.0995448,-0.194701980038681,"Broadfield Stadium, Brighton Road, Crawley, West Sussex, South East, England, RH11 9RX, UK"
League Two,Crewe Alexandra,Crewe,Gresty Road,"10,153",53.0850608,-2.4361544,"Gresty Road, Crewe, Cheshire East, North West England, England, CW2 6EH, UK"
League Two,Doncaster Rovers,Doncaster,Keepmoat Stadium,"15,231",53.50977845,-1.11377120271428,"Keepmoat Stadium, Stadium Way, Lakeside, Doncaster, Yorkshire and the Humber, England, DN4 5JW, UK"
League Two,Exeter City,Exeter,St James Park,"8,830",50.7309796,-3.522601,"St James' Park, Powderham Crescent, Pennsylvania, Exeter, Devon, South West England, England, EX4 6JA, UK"
League Two,Grimsby Town,Cleethorpes,Blundell Park,"9,062",53.57022975,-0.0465115865245239,"Blundell Park, Constitutional Avenue, Beacon Hill, Grant Thorold, Old Clee, North East Lincolnshire, Yorkshire and the Humber, England, UK"
League Two,Hartlepool United,Hartlepool,Victoria Park,"7,856",54.6890602,-1.21265638064027,"Victoria Park, Clarence Road, Stranton, Hartlepool, North East England, England, TS24 8BZ, UK"
League Two,Leyton Orient,London,Brisbane Road,"9,271",51.5602859,-0.0116574,"Brisbane Road, Leyton, London Borough of Waltham Forest, London, Greater London, England, E10, UK"
League Two,Luton Town,Luton,Kenilworth Road,"10,356",51.8845838,-0.4289871,"Kenilworth Road, Bury Park, Luton, East of England, England, LU1 1EH, UK"
League Two,Mansfield Town,Mansfield,Field Mill,"8,200",53.1381365,-1.20088890526793,"Field Mill, Lord Street, Mansfield Woodhouse, Mansfield, Nottinghamshire, East Midlands, England, NG18 1BE, UK"
League Two,Morecambe,Morecambe,Globe Arena,"6,476",54.0617716,-2.86636444598331,"Globe Arena, West End, Lancaster, Lancs, North West England, England, UK"
League Two,Newport County,Newport,Rodney Parade,"7,850",51.58829555,-2.98804137620619,"Rodney Parade, Rodney Road, Victoria, Newport, Wales, NP19, UK"
League Two,Notts County,Nottingham,Meadow Lane,"19,588",52.9441614,-1.1331563,"Meadow Lane, Lace Market, Sneinton, City of Nottingham, East Midlands, England, NG2 3HE, UK"
League Two,Plymouth Argyle,Plymouth,Home Park,"17,767",50.38812155,-4.15087521325805,"Home Park, Outland Road, Ham, Plymouth, South West England, England, PL2 3DQ, UK"
League Two,Portsmouth,Portsmouth,Fratton Park,"20,662",50.79632375,-1.06388348519824,"Fratton Park, Frogmore Road, Kingston, Milton, Portsmouth, South East, England, PO4 8RA, UK"
League Two,Stevenage,Stevenage,Broadhall Way,"6,722",51.8899242,-0.1978431,"Broadhall Way, Roebuck, Stevenage, Hertfordshire, East of England, England, SG1 1XZ, UK"
League Two,Wycombe Wanderers,High Wycombe,Adams Park,"10,284",51.6305353,-0.80028913002812,"Adams Park, Hillbottom Road, Sands Industrial Estate, Wycombe, Buckinghamshire, South East, England, HP12 4HJ, UK"
League Two,Yeovil Town,Yeovil,Huish Park,"9,565",50.9416814,-2.6406612,"Huish, Yeovil, South Somerset, Somerset, South West England, England, UK"
